Day,Stock,price,ret_1d,ret_5d,mom_3,mom_5,mom_10,roc_5,ma_3,ma_5,ma_10,ema_3,ema_5,ema_10,ema_20,vol_5,vol_10,slope_5,slope_10,rsi_14,macd,macd_signal,macd_hist,bb_pos,y_next
19,Stock_A,94.13375033179378,0.000516361886680361,0.0006854961645539337,1.0502331764487423,0.06448412118977842,1.1951945932715944,0.0006854961645539337,93.66829601512809,93.62139703407708,93.50259055233052,93.8740106928991,93.76030127658187,93.81717578025562,94.36377845182626,0.6369062218319821,0.6845682925874321,0.12319919056932588,0.10312595187524225,45.66521686183842,-0.770586134176753,-0.8516842063513215,0.08109807217456844,-0.06252276579086607,-0.004198791033251714
20,Stock_A,93.73850238497428,-0.004198791033251714,-0.0029789599542144884,0.9525330081465171,-0.2800775846817203,1.6821696191644406,-0.0029789599542144884,93.98580701784361,93.56538151714072,93.67080751424696,93.8062565389367,93.75303497937935,93.8028715265681,94.30422835022132,0.6047455725010713,0.4593143525215073,0.2657751414224549,0.019576684251400533,43.17534018568118,-0.7271363576678169,-0.8267746366146206,0.09963827894680366,-0.16804290967786353,-0.004330043054716626
21,Stock_A,93.33261063376268,-0.004330043054716626,0.0026760213411569644,-0.752557703000079,0.24909347841764884,-0.212219046042037,0.0026760213411569644,93.73495445017691,93.61520021282425,93.64958560964276,93.56943358634969,93.61289353084047,93.71736954605802,94.21169332960622,0.5640142592657504,0.47054697400867784,0.07466165620812941,-0.007268940616619186,40.71992696931305,-0.7171868849137013,-0.8048570862744368,0.08767020136073544,-0.31951981103445404,-0.00998440069328077
22,Stock_A,92.40074045144524,-0.00998440069328077,-0.0041518014843171525,-1.7330098803485328,-0.3852289253825205,-1.023051374689416,-0.0041518014843171525,93.15728449006075,93.53815442774776,93.54728047217381,92.98508701889747,93.2088425043754,93.47798243794661,94.03922162692422,0.7124003099156094,0.6143377715245371,-0.41699954686661966,-0.09044068632793233,35.70010629290759,-0.7755558665599978,-0.798996842331549,0.023440975771551242,-0.6421213119972702,0.006043266741386333
23,Stock_A,92.95914277309494,0.006043266741386333,-0.011968151660603943,-0.7793596118793431,-1.1260255636678238,-0.8655570974716653,-0.011968151660603943,92.89749795276761,93.3129493150142,93.46072476242665,92.97211489599621,93.12560926061525,93.38364795342812,93.93635697417858,0.6731456699394004,0.6316401576909326,-0.368697705092685,-0.10402629789998143,40.43842095139756,-0.7679033921449019,-0.7927781522942197,0.024874760149317776,-0.3819105702010497,0.008032793569326069
24,Stock_A,93.70586437737272,0.008032793569326069,-0.004545510541255293,0.3732537436100358,-0.4278859544210576,-0.36340183323127917,-0.004545510541255293,93.0219158673043,93.22737212412997,93.42438457910353,93.33898963668446,93.31902763286774,93.44223275778168,93.91440529829231,0.5604799351708093,0.6025213916623829,-0.04387438758709571,-0.05008561629717044,46.15284648549378,-0.6935892925650933,-0.7729403803483944,0.07935108778330113,0.04731604572520674,-0.0006035407537547943
25,Stock_A,93.64930906935516,-0.0006035407537547943,-0.0009515120612106909,1.2485686179099105,-0.08919331561912713,-0.3692709003008474,-0.0009515120612106909,93.43810540660759,93.20953346100615,93.38745748907344,93.49414935301981,93.42912144503022,93.47988299624959,93.88915803839353,0.5412339105232739,0.5726328095421495,0.19385207971124105,0.0017960182988486682,45.79448698721474,-0.6319733782339938,-0.7447469799255143,0.11277360169152051,0.06394648989873654,0.0043657401855690114
26,Stock_A,94.05815762131,0.0043657401855690114,0.007773777917713831,1.099014848215063,0.7255469875473182,0.974640465964967,0.007773777917713831,93.80444368934597,93.3546428585156,93.48492153566994,93.7761534871649,93.63880017045682,93.58502383716966,93.90525323676653,0.6654825077286242,0.5975544185541956,0.40050006359895945,0.01811697296016071,48.884409424343865,-0.543882126357289,-0.7045740092118693,0.16069188285458025,0.4784474102684232,-0.0020818694183886155
27,Stock_A,93.86234081940822,-0.0020818694183886155,0.015818059041756483,0.1564764420354976,1.4616003679629728,1.0763714425804523,0.015818059041756483,93.85660250335779,93.64696293210821,93.59255867992798,93.81924715328657,93.7133137201073,93.63544510666758,93.90116633987526,0.4159447567060538,0.5529411456877048,0.2158689336563792,-0.007893331243597248,47.488164277837946,-0.48428739040780044,-0.6605166854510556,0.17622929504325513,0.3318671632666652,-0.005042708732406642
28,Stock_A,93.38902037371406,-0.005042708732406642,0.004624371393660676,-0.26028869564109414,0.42987760061912184,-0.696147963048702,0.004624371393660676,93.76983960481077,93.73293845223203,93.52294388362311,93.60413376350031,93.60521593797623,93.59064060976692,93.8523905335742,0.24925840231980687,0.5272566911006606,-0.04206562572643787,0.013845223115540452,44.20176090073186,-0.4698351697003744,-0.6223803823009194,0.152545212600545,-0.054306295363647145,-0.003051452832345425
